job_title|company_name|location|position_level|jobs_location|total_vacancy|job_description|required_experience|required_education|required_language|required_soft_skill|required_technical_skill|job_type|working_hour_type|working_hour|work_day|off_day|salary_type|salary_range|job_url|scraping_date
Operation Engineer|DIMENSION BID M SDN BHD|KOTA KINABALU|Engineer|KOTA KINABALU|1|"Operations Engineer is responsible for supporting the safe, efficient, and continuous operation of offshore production and utility systems. The role ensures technical integrity, compliance with safety standards, and operational excellence in day-to-day activities aboard offshore platforms or facilities.

Key Responsibilities:
- Monitor, analyze, and optimize production and process operations onboard.
- Troubleshoot technical and operational issues in coordination with offshore teams.
- Provide engineering support for shutdown/start-up, maintenance, and emergency operations.
- Ensure adherence to HSE (Health, Safety & Environment) standards and regulatory requirements.
- Assist in the implementation of production improvement initiatives and performance monitoring.
- Liaise with onshore technical support teams for coordinated operations.
- Maintain accurate documentation and reporting of operational activities and production data.

 Requirements:
- Degree in Engineering (Petroleum, Chemical, Mechanical, or equivalent).
- 3–5 years’ experience in offshore oil & gas operations.
- Familiar with offshore platform systems (e.g., separation, compression, utilities)."|At least 3 year of experience|Diploma / Degree /|Malay / English /|Reporting / Coaching / Reliability / Problem-solving /|Microsoft Office /|Full Time|Office Hour|08:00 AM to 05:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 3,000 - RM 3,300|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTI1NQ==|2026-02-18 12:21:58
PROJECT AND SERVICE ENGINEER|EXACT AUTOMATION SDN BHD|KOTA KINABALU|Junior Executive|KOTA KINABALU|3|"1.	Accountability
•	To perform, testing, integrating, setup, installation & commissioning at site.
•	To perform service and maintenance task of completed projects.
•	To monitor and follow up on documentation submission, and documents review and approval by client.
•	Prepare and perform Factory and Site Acceptance Test according to project requirement
•	Preparation of Engineering drawings, design & documents compliances with customer 
        specifications.
•	To provide engineering services e.g software configuration, third party system integration, 
        system internal testing, FAT and system communication testing.
•	To perform troubleshooting for PLC system
•	To conduct training for PLC system if required within the project scope
•	Make sure all related project documentation approved by client prior fabrication. 
•	Responsible for software logic programming, integrating, setup, installation, 
        commissioning and documentation for handover.
•	To identify the design-input requirement, plan & control, the design activities.
•	To review the design document and get approval from Project Manager or Assistant 
       Project Manager prior submission to client
•	All drawings or software listing shall be updated and amended. This as-built drawing shall 
       then be chop & sign as as-built drawing and handover to customer.
•	To ensure instruction are followed during the testing stage.
•	To ensure incoming product is properly inspected.
•	Project Engineer shall work towards preventing the occurrence of non-conformity.
•	To arrange for equipment calibration if the need arises.
•	To conduct analysis on customer’s claims and complaints and to implement corrective 
         and preventive actions.

2.	Requirements
•	Candidates must possess at least a Degree in Electronic & Electrical / Control & 
        Instrumentation / Mechatronic / Computer Science Engineering or equivalent.
•	Experience in technical write-ups and AutoCAD software (optional).
•	Fluent in English and Bahasa Malaysia for both written and oral skills.
•	Strong analytical and problem solving skills."|At least 2 year of experience|Degree /|Malay / English /|Customer service / Documenting / Reporting / Patience / Positivity / Flexibility / Reliability / Problem-solving / Evaluating /|Microsoft Access / Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint / Microsoft Word  /|Full Time|Office Hour|08:30 AM to 05:30 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 3,000 - RM 6,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTEzMg==|2026-02-18 12:21:58
Senior Admin|JGC MALAYSIA SDN BHD|SIPITANG|Non Executive|SIPITANG|1|The Senior Administrator will play a crucial role in supporting senior management, coordinating internal communications, and overseeing office management tasks|At least 4 year of experience|Diploma /|English /|Written communication /|Microsoft Office /|Contract|Office Hour|07:00 AM to 04:00 PM|Monday /|Sunday /|Monthly Salary|RM 3,500 - RM 4,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTEyOQ==|2026-02-18 12:21:58
Medior Operator|INTEGRATED PETROLEUM SERVICES SDN BHD|KOTA KINABALU|Junior Executive|KOTA KINABALU|1|"RESPONSIBILITIES-For a safe operation of the Ampelmann system according to company procedures. Point of contact for the operators on the vessel, client and Project Manager. For overall safe operation with the Ampelmann on the project. Connect the gangway to an offshore structure in the correct manner. He acts correctly during all emergency scenarios. He assures relevant information is shared in a clear and professionally with the operators, client, and Project Manager. Responsible for daily pre-start checks and weekly/mthly maintenance according to company procedures within the correct time frame. Discover and locate errors. Solve issues according to procedures.
Responsible for keeping himself updated with the latest company-and project related information and keeping his certification updated. Familiar with safety programs and submits report of an unsafe situation. He submits feedback report after each shift and is responsible for collecting feedback forms about his own performance. He submits timesheets on weekly basis for internal hour registration. He is to perform additional tasks related to his role, including but not limited to assisting with mobilization and demobilization and maintenance/production activities on location."|At least 2 year of experience|Malaysian Skills Certificate (SKM) /|English /|Written communication /|Microsoft Project /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Sunday /|Monthly Salary|RM 21,000 - RM 21,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTM0OA==|2026-02-18 12:21:58
Account Assistant Cum Clerk|SAFEMED SDN BHD|KOTA KINABALU|Entry Level|KOTA KINABALU|1|"to perform basic account work, data entry, issue cheque etc.
- able to use accounting software, i.e. SQL is an advantage
- admin support
- able to work immediately
- good in both English and BM
- Types fast
- working hour: 8am to 5pm (monday to friday), 8am to 1pm (saturday).
- office located in central shopping plaza"|No experience required|Diploma /|Malay / English /|Active listening / Documenting / Reporting /|Microsoft Excel / Microsoft Outlook / SQL /|Full Time|Office Hour|08:00 AM to 05:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Saturday / Sunday /|Monthly Salary|RM 1,700 - RM 1,800|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTM3MQ==|2026-02-18 12:21:58
MARINE CREW - OILER - FOR RESOLUTION|BINTANG SAMUDERA SDN BHD|KOTA KINABALU|Non Executive|KOTA KINABALU|3|"60 day contract.
The oiler reports to the Second Engineer and is categorized as Engine Room Ratings and is responsible for the execution of engine maintenance-related activities.
RESPONSIBILITIES
(a) Carrying out machinery Planned Maintenance schedule as directed by his superior, always observing and practicing safe working practices.
(b) Monitoring machinery during their sea or port watches in the Engine room.
(c) General cleaning and housekeeping of machinery spaces as directed by his superior.
(d) Assisting in shipboard operations as and when required."|At least 1 year of experience|Malaysian Skills Certificate (SKM) /|Malay / English /|Positivity / Reliability / Problem-solving / Troubleshooting / Adapting /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint / Microsoft Word  /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Daily Salary|RM 250 - RM 251|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTQwMw==|2026-02-18 12:21:58
FIELD ENGINEER|MAXGRIP SERVICES SDN BHD|KOTA KINABALU|Engineer|KOTA KINABALU|1|Key Responsibilities:-  • To prepare and execution maintenance workscope for respective hubs namely F23, F06, E8/E6 and NUI.  • To arrange and conduct work scoping activities together with workscoper upon creation and confirmation of work orders.  • To review work order and inspection reports to ensure all relevant information provided are sufficient and accurate.  • To provide preliminary estimation for each operational line items including man-hours, and resources required; as well as to provide a preliminary material take-off list for materials required.  • To identify long lead items to be supplied by the Company (not covered under current HUC contract) and ensure such information is provided to material management team for material requisition.  • To compile workscoping report and define work methodology.  • To sketch draft maintenance worksheet, spading isolation plan and draft lifting methodology together  with work preparer to improver long lead materials requisition and execution strategy.  • Ensure enough information is provided upfront for any particular work order so as to minimize workscoping trips offshore.|At least 5 year of experience|Degree /|Malay / English /|Conceptual thinking / Evaluating / Cost-benefit analyzing / Troubleshooting / Managing /|Microsoft Excel / Microsoft Office / Microsoft Project / Microsoft Word  /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Saturday / Sunday /|Monthly Salary|RM 5,000 - RM 6,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTEzMw==|2026-02-18 12:21:58
MARINE CREW - SECOND ENGINEER - FOR RESOLUTION|BINTANG SAMUDERA SDN BHD|KOTA KINABALU|Engineer|KOTA KINABALU|1|"The Second Engineer is the deputy of the Engine department and supervises the work of the Third Engineer and Engine Room Ratings. The Second Engineer is a member of the Shipboard Management Team assisting the Chief Engineer in the implementation of IMS.
In certain circumstances, the Second Engineer may be allocated additional responsibilities at the discretion of the Chief Engineer. Where an additional Second Engineer is carried on board a vessel, the Chief Engineer shall apportion their duties and responsibilities.

60 Days Contract"|At least 1 year of experience|Malaysian Skills Certificate (SKM) /|Malay / English /|Problem-solving /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint / Microsoft Word  /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Daily Salary|RM 1,465 - RM 1,890|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTQwNQ==|2026-02-18 12:21:58
Surveyor|INFOTRAX ENGINEERING SDN BHD|HULU LANGAT|Entry Level|HULU LANGAT|1|"1. Surveying technicians carry out Geomatic surveying tasks. Assist surveyors, architects or engineers in surveying related technical tasks such as mapping land, creating construction drawings and operating precise measuring equipment.
2. Perform Dimensional survey, and involved on activities 3D Laser Scan modelling to get existing structural, equipment, piping coordinate and dimensional of whole platform (platform mapping).
3. Assist in all task which not limited to Operate the Survey Equipment, Prepare of Reports, Drone Activities, Liaise with Client at Site.
4. Job Specializations: Building/Construction, Quantity Surveying, 3D As-Built Design, 3D Point Cloud."|At least 1 year of experience|Diploma / Degree /|Malay / English /|Positivity / Adapting / Respecting /|Microsoft Office / Microsoft Outlook /|Contract|Office Hour|09:00 AM to 06:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 2,100 - RM 2,300|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTI1MQ==|2026-02-18 12:21:58
Digital Engineer|HURRICANE GEO INSPECTION SURVEY SDN. BHD.|KOTA KINABALU|Senior Executive|KOTA KINABALU|2|"• To implement instructions received from the Project Manager and Regional Operations 
Manager.
• To ensure the safe and timely mobilization of the Survey Vessels, and the correct checking of 
all the onboard survey systems.
• To arrange the work schedules, in liaison with the onboard Representative and vessel captain, 
to ensure the execution of the required contractual tasks in a timely and professional manner.
• To ensure that all contracted tasks are completed prior to departure from the job site.
• To ensure that all operations are conducted in a safe and orderly manner, and conduct regular 
safety meetings with relevant personnel.
• To ensure that the project QA procedures are adhered to during all offshore survey operations; 
this to include mobilization, harbour trials, field calibrations and calibration checks, project tasks, 
post project calibration checks and demobilization."|At least 3 year of experience|Diploma / Degree /|English /|Conflict management / Reliability / Problem-solving / Troubleshooting / Crisis managing /|Microsoft Excel / Microsoft Outlook / Microsoft Word  / Layout Design /|Temporary|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Project Based|RM 1,550 - RM 1,600|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTI2OQ==|2026-02-18 12:21:58
